Category_id,Category_url
c49548,https://tiki.vn/giay-cao-got-ho-mui/c49548
c49550,https://tiki.vn/giay-cao-got-suc/c49550
c49590,https://tiki.vn/mieng-lot-giay/c49590
c49592,https://tiki.vn/ve-sinh-giay/c49592
c49594,https://tiki.vn/phu-kien-cho-giay/c49594
c49570,https://tiki.vn/giay-boots-nu-co-ngan/c49570
c49572,https://tiki.vn/giay-boots-nu-co-cao/c49572
c49574,https://tiki.vn/giay-boots-nu-got-nhon/c49574
c49576,https://tiki.vn/dep-xo-ngon/c49576
c49578,https://tiki.vn/dep-quai-ngang/c49578
c49580,https://tiki.vn/dep-di-trong-nha/c49580
c20768,https://tiki.vn/banh-keo/c20768
c20770,https://tiki.vn/cham-soc-thu-cung/c20770
c20782,https://tiki.vn/do-hop/c20782
c20788,https://tiki.vn/ca-phe/c20788
c20792,https://tiki.vn/tra/c20792
c20798,https://tiki.vn/do-uong-khac/c20798
c20800,https://tiki.vn/gia-vi/c20800
c20806,https://tiki.vn/nau-an-va-lam-banh/c20806
c20808,https://tiki.vn/thuc-pham-bo-duong/c20808
c20810,https://tiki.vn/thuc-pham-kho/c20810
c20826,https://tiki.vn/dien-lanh/c20826
c20830,https://tiki.vn/bep-cac-loai/c20830
c20832,https://tiki.vn/binh-cac-loai/c20832
c20836,https://tiki.vn/do-dung-nha-bep-khac/c20836
c20838,https://tiki.vn/lo-nuong-vi-nuong-lo-vi-song/c20838
c20854,https://tiki.vn/cac-loai-may-khac/c20854
c20856,https://tiki.vn/may-xay-may-ep/c20856
c20858,https://tiki.vn/noi-dien/c20858
c20866,https://tiki.vn/ban-ui-ban-la/c20866
c20872,https://tiki.vn/may-hut-bui/c20872
c20874,https://tiki.vn/may-loc-khong-khi-tao-am/c20874
c20886,https://tiki.vn/quat-dien/c20886
c20890,https://tiki.vn/cac-loai-may-khac/c20890
c24986,https://tiki.vn/phu-kien-dien-gia-dung/c24986
c20912,https://tiki.vn/bang-keo-ca-nhan/c20912
c20914,https://tiki.vn/cham-soc-mat/c20914
c20924,https://tiki.vn/thiet-bi-cham-soc-rang/c20924
c20918,https://tiki.vn/dung-dich-ve-sinh-nam-nu/c20918
c20920,https://tiki.vn/may-cao-rau/c20920
c20922,https://tiki.vn/san-pham-cham-soc-ca-nhan-khac/c20922
c20932,https://tiki.vn/duong-the/c20932
c20936,https://tiki.vn/san-pham-chong-nang/c20936
c20938,https://tiki.vn/san-pham-khu-mui/c20938
c20940,https://tiki.vn/san-pham-tay-long/c20940
c20948,https://tiki.vn/sua-tam-xa-bong-muoi-tam/c20948
c20950,https://tiki.vn/tay-te-bao-chet-massage/c20950
c20952,https://tiki.vn/tri-ran-nut-da/c20952
c20964,https://tiki.vn/cham-soc-vung-da-mat/c20964
c20966,https://tiki.vn/lam-sach-da-mat/c20966
c20968,https://tiki.vn/mat-na/c20968
c20970,https://tiki.vn/dung-cu-cham-soc-da-mat/c20970
c20972,https://tiki.vn/nuoc-hoa-hong-toner/c20972
c20974,https://tiki.vn/san-pham-chong-nang-va-phuc-hoi-sau-khi-di-nang/c20974
c20976,https://tiki.vn/san-pham-tri-mun/c20976
c20978,https://tiki.vn/xit-khoang/c20978
c24988,https://tiki.vn/duong-da-mat/c24988
c20982,https://tiki.vn/dau-goi-dau-xa/c20982
c20984,https://tiki.vn/duong-toc-u-toc/c20984
c20986,https://tiki.vn/phu-kien-toc/c20986
c24992,https://tiki.vn/tao-kieu-toc/c24992
c24994,https://tiki.vn/toc-gia/c24994
c20992,https://tiki.vn/nuoc-hoa/c20992
c21002,https://tiki.vn/can-suc-khoe/c21002
c21004,https://tiki.vn/dung-cu-so-cuu/c21004
c21006,https://tiki.vn/dung-cu-theo-doi-suc-khoe/c21006
c21008,https://tiki.vn/may-massage-toan-than/c21008
c21012,https://tiki.vn/thiet-bi-khac/c21012
c21016,https://tiki.vn/danh-cho-toc/c21016
c21018,https://tiki.vn/danh-cho-mat/c21018
c21020,https://tiki.vn/danh-cho-co-the/c21020
c21024,https://tiki.vn/kiem-soat-can-nang/c21024
c21026,https://tiki.vn/thuc-pham-chuc-nang-lam-dep/c21026
c21028,https://tiki.vn/thuc-pham-chuc-nang-suc-khoe/c21028
c21030,https://tiki.vn/thuc-pham-chuc-nang-thien-nhien/c21030
c21034,https://tiki.vn/cham-soc-mong/c21034
c21036,https://tiki.vn/dung-cu-trang-diem/c21036
c21038,https://tiki.vn/tay-trang-khan-uot/c21038
c21040,https://tiki.vn/trang-diem-mat/c21040
c21042,https://tiki.vn/trang-diem-mat/c21042
c21044,https://tiki.vn/trang-diem-moi/c21044
c21056,https://tiki.vn/dien-thoai-pho-thong/c21056
c21058,https://tiki.vn/dien-thoai-smartphone/c21058
c21060,https://tiki.vn/may-tinh-bang/c21060
c21076,https://tiki.vn/laptop/c21076
c21084,https://tiki.vn/linh-kien-may-tinh/c21084
c21086,https://tiki.vn/man-hinh-may-tinh/c21086
c21088,https://tiki.vn/may-chieu/c21088
c21092,https://tiki.vn/may-in-may-scan/c21092
c21094,https://tiki.vn/may-in-may-scan/c21094
c21106,https://tiki.vn/thiet-bi-luu-tru/c21106
c21114,https://tiki.vn/usb/c21114
c21120,https://tiki.vn/thiet-bi-luu-tru-khac/c21120
c21132,https://tiki.vn/thiet-bi-mang/c21132
c21170,https://tiki.vn/cham-soc-me-mang-thai-sau-sinh/c21170
c21172,https://tiki.vn/dinh-duong-cho-be/c21172
c21174,https://tiki.vn/dinh-duong-cho-nguoi-lon/c21174
c21176,https://tiki.vn/do-choi/c21176
c21234,https://tiki.vn/dung-cu-cham-soc-suc-khoe/c21234
c21236,https://tiki.vn/do-dung-an-uong-cho-be/c21236
c21238,https://tiki.vn/do-dung-bao-ve-be/c21238
c21242,https://tiki.vn/do-dung-phong-ngu-cho-be/c21242
c21244,https://tiki.vn/do-dung-ve-sinh-cho-be/c21244
c24984,https://tiki.vn/san-pham-cham-soc-be/c24984
c21246,https://tiki.vn/do-dung-cho-nguoi-gia/c21246
c21248,https://tiki.vn/ta-bim-cho-be/c21248
c21252,https://tiki.vn/phu-kien-cho-be/c21252
c21254,https://tiki.vn/thoi-trang-bau/c21254
c21260,https://tiki.vn/thoi-trang-so-sinh/c21260
c21270,https://tiki.vn/dung-cu-phong-an-nha-bep/c21270
c21272,https://tiki.vn/den-thiet-bi-chieu-sang/c21272
c21274,https://tiki.vn/do-dung-nha-tam/c21274
c21276,https://tiki.vn/do-dung-phong-ngu/c21276
c21280,https://tiki.vn/ngoai-troi-san-vuon/c21280
c21282,https://tiki.vn/sua-chua-nha-cua/c21282
c21284,https://tiki.vn/nhac-cu/c21284
c21286,https://tiki.vn/noi-that/c21286
c21288,https://tiki.vn/trang-tri-nha-cua/c21288
c24996,https://tiki.vn/bao-ve-nha-cua/c24996
c24998,https://tiki.vn/sap-xep-nha-cua/c24998
c25000,https://tiki.vn/thiet-bi-nha-cua-khac/c25000
c21302,https://tiki.vn/art-photography/c21302
c21304,https://tiki.vn/biographies-memoirs/c21304
c21306,https://tiki.vn/business-economics/c21306
